iter	time_sec
1	5.582141
2	5.344114
3	5.451457
4	5.427718
5	5.375703
6	5.561390
7	5.636154
8	5.390086
9	5.422628
10	5.427416
11	5.453861
12	5.385874
13	5.393541
14	5.370779
15	5.435392
16	5.716171
17	5.419282
18	5.370370
19	5.342840
20	5.396707
21	5.348128
22	5.383528
23	5.419833
24	5.667827
25	5.295722
26	5.352201
27	5.360382
28	5.329407
29	5.351511
30	5.343567
