iter	time_sec
1	5.546314
2	5.497869
3	5.579009
4	5.532812
5	5.549466
6	5.542966
7	5.477509
8	5.673961
9	5.506014
10	5.603494
11	5.474950
12	5.540605
13	5.451365
14	5.595682
15	5.487821
